"Agency","Subagency","Title","accountID","Obligation"
"US Agencies - Non-CFO Act","Legislative Branch, Government Accountability Office","Salaries and Expenses",113,275517889.23
"US Agencies - Non-CFO Act","Legislative Branch, Legislative Branch Boards and Commissions","Commission on Security and Cooperation in Europe: Salaries and Expenses",119,1117123.62
"US Agencies - Non-CFO Act","Legislative Branch, Legislative Branch Boards and Commissions","International Conferences and Contingencies: House and Senate Expenses",122,50000
"US Agencies - Non-CFO Act","Judicial Branch, Courts of Appeals, District Courts, and Other Judicial Services","Court Security",150,249131577.06
"Department of Agriculture","Office of the Secretary","Office of the AssistantOffice of the Under Secretary for Marketing and Regulatory Programs",285,546900
"Department of Agriculture","Office of the Secretary","Office of the Secretary",278,920983.59
"Department of Agriculture","Office of the Secretary","Office of the Assistant Secretary for Administration",281,0
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Food Safety",417,334066.69
"Department of Agriculture","Office of the Secretary","Office of the Assistant Secretary for Congressional Relations",282,0
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Research, Education and Economics",284,1857827.41
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Farm and Foreign Agricultural Services",286,497452.29
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Rural Development",287,1107094.64
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Natural Resources and Environment",288,728208.78
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Food, Nutrition and Consumer Services",289,491197.29
"Department of Agriculture","Office of the Secretary","Departmental Administration",280,4125.77
"Department of Agriculture","Office of the Secretary","Outreach for Socially Disadvantaged Farmers",309,0
"Department of Agriculture","Office of the Secretary","Office of the Assistant Secretary for Civil Rights",290,448419.83
"Department of Agriculture","Office of the Secretary","Office of Public Affairs",296,0
"Department of Agriculture","Office of the Secretary","Homeland Security Staff",275,16354.65
"Department of Agriculture","Office of the Secretary","The Office of Tribal Relations",291,0
"Department of Agriculture","Office of the Secretary","The Office of Advocacy and Outreach",292,0
"Department of Agriculture","Office of the Secretary","Gifts and Bequests",530,138481.38
"Department of Agriculture","Executive Operations","Office of the Chief Economist",283,5303465.61
"Department of Agriculture","Executive Operations","National Appeals Division",310,6001072.86
"Department of Agriculture","Executive Operations","Office of Budget and Program Analysis",306,4336076.76
"Department of Agriculture","Executive Operations","Common Computing Environment",277,0
"Department of Agriculture","Office of Chief Information Officer","Office of the Chief Information Officer",273,18461475.83
"Department of Agriculture","Office of Chief Financial Officer","Office of the Chief Financial Officer",274,2907378.38
"Department of Agriculture","Office of Civil Rights","Office of Civil Rights",418,15124321.85
"Department of Agriculture","Office of Inspector General","Office of Inspector General",312,46517863.9
"Department of Agriculture","Office of Inspector General","Inspector General, Assets Forfeiture, Department of the Treasury",496,374820.61
"Department of Agriculture","Office of Inspector General","Inspector General, Assets Forfeiture, Department of Justice",495,907977.02
"Department of Agriculture","Office of Inspector General","Office of the Inspector General, Recovery Act",311,0
"Department of Agriculture","Office of the General Counsel","Office of the General Counsel",381,22525841.09
"Department of Agriculture","Office of the General Counsel","Office of Ethics",294,1652602.8
"Department of Agriculture","Economic Research Service","Economic Research Service",353,37742155.87
"Department of Agriculture","National Agricultural Statistics Service","National Agricultural Statistics Service",354,24597301.52
"Department of Agriculture","National Agricultural Statistics Service","Miscellaneous Contributed Funds",533,0
"Department of Agriculture","Agricultural Research Service","Salaries and Expenses",342,23923293.66
"Department of Agriculture","Agricultural Research Service","Concessions, Fees, and Voluntary Services",488,11927.22
"Department of Agriculture","Agricultural Research Service","Buildings and Facilities",343,2357289.29
"Department of Agriculture","Agricultural Research Service","Miscellaneous Contributed Funds",532,9649851.95
"Department of Agriculture","National Institute of Food and Agriculture","Integrated Research, Education, and Extension Competitive Grants Program",350,18846105
"Department of Agriculture","National Institute of Food and Agriculture","Biomass Research and Development",315,3816.88
"Department of Agriculture","National Institute of Food and Agriculture","Research and Education Activities",348,193185545.45
"Department of Agriculture","National Institute of Food and Agriculture","Buildings and Facilities",349,1207258.04
"Department of Agriculture","National Institute of Food and Agriculture","Extension Activities",305,23820894.88
"Department of Agriculture","Animal and Plant Health Inspection Service","Salaries and Expenses",351,523483228.13
"Department of Agriculture","Animal and Plant Health Inspection Service","Salaries and Expenses",467,100363791.67
"Department of Agriculture","Animal and Plant Health Inspection Service","Buildings and Facilities",352,150941.93
"Department of Agriculture","Animal and Plant Health Inspection Service","Miscellaneous Contributed Funds",534,3613808.31
"Department of Agriculture","Animal and Plant Health Inspection Service","Foreign service national separation liability trust fund, APHIS",539,870206.84
"Department of Agriculture","Food Safety and Inspection Service","Salaries and Expenses",416,642094741.71
"Department of Agriculture","Food Safety and Inspection Service","Expenses and Refunds, Inspection and Grading of Farm Products",528,5756450.8
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration","Salaries and Expenses",382,20705075.17
"Department of Agriculture","Agricultural Marketing Service","Marketing Services",383,99440507.8
"Department of Agriculture","Agricultural Marketing Service","Payments to States and Possessions",384,3037583.04
"Department of Agriculture","Agricultural Marketing Service","Perishable Agricultural Commodities Act Fund",466,5032529.32
"Department of Agriculture","Agricultural Marketing Service","Funds for Strengthening Markets, Income, and Supply (section 32)",476,340864340.48
"Department of Agriculture","Agricultural Marketing Service","Miscellaneous Trust Funds",522,84226774.27
"Department of Agriculture","Agricultural Marketing Service","Payment to Expenses and Refunds, Inspection and Grading of Farm Products",299,2250000
"Department of Agriculture","Agricultural Marketing Service","Wool Research, Development, and Promotion Trust Fund",527,0
"Department of Agriculture","Risk Management Agency","Administrative and Operating Expenses",386,41096844.87
"Department of Agriculture","Risk Management Agency","Federal Crop Insurance Corporation Fund",422,5514974342.61
"Department of Agriculture","Farm Service Agency","Salaries and Expenses",308,733673370.83
"Department of Agriculture","Farm Service Agency","Discrimination Claims Settlement",336,0
"Department of Agriculture","Farm Service Agency","Grassroots Source Water Protection Program",395,1240516
"Department of Agriculture","Farm Service Agency","Commodity Credit Corporation Fund",457,0
"Department of Agriculture","Natural Resources Conservation Service","Conservation Operations",313,339542042.37
"Department of Agriculture","Natural Resources Conservation Service","Farm Security and Rural Investment Programs",316,1359269947.41
"Department of Agriculture","Natural Resources Conservation Service","Wildlife Habitat Incentives Program",404,0
"Department of Agriculture","Natural Resources Conservation Service","Watershed and Flood Prevention Operations",319,64587098.24
"Department of Agriculture","Natural Resources Conservation Service","Watershed Rehabilitation Program",314,2043221.9
"Department of Agriculture","Natural Resources Conservation Service","Resource Conservation and Development",317,0
"Department of Agriculture","Natural Resources Conservation Service","Wetlands Reserve Program",321,0
"Department of Agriculture","Natural Resources Conservation Service","Healthy Forests Reserve Program",322,0
"Department of Agriculture","Natural Resources Conservation Service","Water Bank Program",403,10132.15
"Department of Agriculture","Natural Resources Conservation Service","Damage Assessment and Restoration Revolving Fund",462,21.84
"Department of Agriculture","Natural Resources Conservation Service","Miscellaneous Contributed Funds",531,0
"Department of Agriculture","Rural Development","Salaries and Expenses",302,335756424.28
"Department of Agriculture","Foreign Agricultural Service","Salaries and Expenses",387,116779952.65
"Department of Agriculture","Foreign Agricultural Service","Scientific Activities Overseas (foreign Currency Program)",345,0
"Department of Agriculture","Foreign Agricultural Service","Miscellaneous Contributed Funds",536,0
"Department of Agriculture","Foreign Agricultural Service","McGovern-Dole International Food for Education and Child Nutrition Program",388,5235573.33
"Department of Agriculture","Foreign Agricultural Service","Food for Peace Title II Grants",379,252000740.79
"Department of Agriculture","Foreign Agricultural Service","Foreign Service National Separation Liability Trust Fund",538,15010669.55
"Department of Agriculture","Food and Nutrition Service","Nutrition Programs Administration",409,66030642.73
"Department of Agriculture","Food and Nutrition Service","Supplemental Nutrition Assistance Program",407,35613552268.19
"Department of Agriculture","Food and Nutrition Service","Food Stamp Program, Recovery Act",414,0
"Department of Agriculture","Food and Nutrition Service","Child Nutrition Programs",412,12051645628.76
"Department of Agriculture","Food and Nutrition Service","Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",411,3274142080.42
"Department of Agriculture","Food and Nutrition Service","Commodity Assistance Program",408,137764973.16
"Department of Agriculture","Forest Service","Capital Improvement and Maintenance",324,144787657.15
"Department of Agriculture","Forest Service","Forest and Rangeland Research",325,147357233.56
"Department of Agriculture","Forest Service","Gifts, Donations and Bequests for Forest and Range Land Research",524,0
"Department of Agriculture","Forest Service","National Forest System",327,774625630.47
"Department of Agriculture","Forest Service","State and Private Forestry",326,86159686.92
"Department of Agriculture","Forest Service","State, Private, and International Forestry (Land and Water Conservation Fund)",494,2012585.59
"Department of Agriculture","Forest Service","Management of National Forest Lands for Subsistence Uses",331,1244948.67
"Department of Agriculture","Forest Service","Wildland Fire Management",328,1133212983.37
"Department of Agriculture","Forest Service","Range Betterment Fund",474,246307.16
"Department of Agriculture","Forest Service","Stewardship Contracting Product Sales",499,1931098.02
"Department of Agriculture","Forest Service","Acquisition of Lands to Complete Land Exchanges",480,222798.82
"Department of Agriculture","Forest Service","Acquisition of Lands for National Forests, Special Acts",475,0
"Department of Agriculture","Forest Service","Land Acquisition",465,6717830.81
"Department of Agriculture","Forest Service","Hardwood Technology Transfer and Applied Research Fund",497,0
"Department of Agriculture","Forest Service","Administration of Rights-of-way and Other Land Uses",492,2463546.52
"Department of Agriculture","Forest Service","Payments to States Northern Spotted Owl Guarantee, Forest Service",329,0
"Department of Agriculture","Forest Service","Operations and Maintenance of Quarters",481,2221671.67
"Department of Agriculture","Forest Service","Resource Management, Timber Receipts",482,0
"Department of Agriculture","Forest Service","Recreation Fees, Forest Service",485,24645886.69
"Department of Agriculture","Forest Service","Payment to States, National Forests Fund",468,57526913.46
"Department of Agriculture","Forest Service","Payment to Minnesota (Cook, Lake, And St. Louis Counties) from the National Forests Fund",477,5725650
"Department of Agriculture","Forest Service","Timber Roads, Purchaser Elections",469,0
"Department of Agriculture","Forest Service","Roads and Trails for States, National Forests Fund",470,0
"Department of Agriculture","Forest Service","Timber Salvage Sales",471,12969701.55
"Department of Agriculture","Forest Service","Expenses, Brush Disposal",473,8999252.25
"Department of Agriculture","Forest Service","Licensee Programs",478,35195.06
"Department of Agriculture","Forest Service","Quinault Special Management Area",483,0
"Department of Agriculture","Forest Service","Midewin National Tallgrass Prairie Rental Fees",486,416291.3
"Department of Agriculture","Forest Service","Timber Sales Pipeline Restoration Fund",484,2032589.89
"Department of Agriculture","Forest Service","Land between the Lakes Management Fund",491,2801905.23
"Department of Agriculture","Forest Service","Working Capital Fund",463,121136857.64
"Department of Agriculture","Forest Service","Cooperative Work Trust Fund",523,36168276.39
"Department of Agriculture","Forest Service","Reforestation Trust Fund",526,7931160.95
"Department of Agriculture","Forest Service","Land between the Lakes Trust Fund",525,85000
"Department of Commerce","Departmental Management","Salaries and Expenses",542,65595150.88
"Department of Commerce","Departmental Management","Office of the Inspector General",548,20462259.79
"Department of Commerce","Departmental Management","Office of the Inspector General, Recovery Act",540,141483.26
"Department of Commerce","Departmental Management","Renovation and Modernization",545,667587.29
"Department of Commerce","Departmental Management","Working Capital Fund",594,88388202.93
"Department of Commerce","Departmental Management","Gifts and Bequests",625,3086634.03
"Department of Commerce","Economic Development Administration","Salaries and Expenses",547,20864835.28
"Department of Commerce","Economic Development Administration","Economic Development Assistance Programs",579,53150030.94
"Department of Commerce","Economic Development Administration","Economic Development Revolving Fund Liquidating Account",591,0
"Department of Commerce","Bureau of the Census","Salaries and Expenses",551,138424638.44
"Department of Commerce","Bureau of the Census","Periodic Censuses and Programs",552,467626507.66
"Department of Commerce","Bureau of the Census","Census Working Capital Fund",595,408945562.38
"Department of Commerce","Bureau of Economic Analysis","Salaries and Expenses",578,56255623.57
"Department of Commerce","Bureau of Economic Analysis","Economics and Statistics Administration Revolving Fund",586,576673.38
"Department of Commerce","International Trade Administration","Operations and Administration",568,232398630.34
"Department of Commerce","International Trade Administration","Grants to Manufacturers of Worsted Wool Fabrics",607,0
"Department of Commerce","Bureau of Industry and Security","Operations and Administration",550,46790652.85
"Department of Commerce","Minority Business Development Agency","Minority Business Development",549,11793579.43
"Department of Commerce","National Oceanic and Atmospheric Administration","Operations, Research, and Facilities",570,1357681109.65
"Department of Commerce","National Oceanic and Atmospheric Administration","Foreign Fishing Observer Fund",599,0
"Department of Commerce","National Oceanic and Atmospheric Administration","Marine Mammal Unusual Mortality Event Fund",601,0
"Department of Commerce","National Oceanic and Atmospheric Administration","Gulf Coast Ecosystem Restoration Science, Observation, Monitoring, and Technology",573,127137.26
"Department of Commerce","National Oceanic and Atmospheric Administration","Procurement, Acquisition, and Construction",575,995429253.92
"Department of Commerce","National Oceanic and Atmospheric Administration","Limited Access System Administration Fund",602,2711717.85
"Department of Commerce","National Oceanic and Atmospheric Administration","Pacific Coastal Salmon Recovery",571,322536.42
"Department of Commerce","National Oceanic and Atmospheric Administration","Sanctuaries Enforcement Asset Forfeiture Fund",609,0
"Department of Commerce","National Oceanic and Atmospheric Administration","Coastal Impact Assistance Fund",576,0
"Department of Commerce","National Oceanic and Atmospheric Administration","Medicare-eligible Retiree Health Fund Contribution, NOAA",577,1365012
"Department of Commerce","National Oceanic and Atmospheric Administration","Fisheries Enforcement Asset Forfeiture Fund",608,2504907.03
"Department of Commerce","National Oceanic and Atmospheric Administration","Promote and Develop Fishery Products and Research Pertaining to American Fisheries",600,309267.19
"Department of Commerce","National Oceanic and Atmospheric Administration","Western pacific sustainable fisheries",606,18250
"Department of Commerce","National Oceanic and Atmospheric Administration","Fishermen's Contingency Fund",598,19640.49
"Department of Commerce","National Oceanic and Atmospheric Administration","Fisheries Disaster Assistance",581,0
"Department of Commerce","National Oceanic and Atmospheric Administration","North Pacific Fishery Observer Fund",610,0
"Department of Commerce","National Oceanic and Atmospheric Administration","Environmental Improvement and Restoration Fund",604,0
"Department of Commerce","National Oceanic and Atmospheric Administration","Coastal Zone Management Fund",583,0
"Department of Commerce","National Oceanic and Atmospheric Administration","Damage Assessment and Restoration Revolving Fund",585,11847035.78
"Department of Commerce","National Oceanic and Atmospheric Administration","Fisheries Finance Program Account",574,0
"Department of Commerce","National Oceanic and Atmospheric Administration","Federal Ship Financing Fund Fishing Vessels Liquidating Account",592,0
"Department of Commerce","U.S. Patent and Trademark Office","Salaries and Expenses",566,1664093980.01
"Department of Commerce","National Technical Information Service","NTIS Revolving Fund",582,89549700.51
"Department of Commerce","National Institute of Standards and Technology","Scientific and Technical Research and Services",554,284887928.58
"Department of Commerce","National Institute of Standards and Technology","Scientific and Technical Research and Services, Recovery Act",560,0
"Department of Commerce","National Institute of Standards and Technology","Industrial Technology Services",559,63486298.22
"Department of Commerce","National Institute of Standards and Technology","Construction of Research Facilities",557,26970576.86
"Department of Commerce","National Institute of Standards and Technology","Working Capital Fund",597,67803131.96
"Department of Commerce","National Institute of Standards and Technology","Wireless Innovation (WIN) Fund",555,10299855.24
"Department of Commerce","National Telecommunications and Information Administration","Salaries and Expenses",561,37641845.55
"Department of Commerce","National Telecommunications and Information Administration","Public Telecommunications Facilities, Planning and Construction",562,29790.79
"Department of Commerce","National Telecommunications and Information Administration","Information Infrastructure Grants",563,0
"Department of Commerce","National Telecommunications and Information Administration","Broadband Technology Opportunities Program, Recovery Act",564,0
"Department of Commerce","National Telecommunications and Information Administration","Digital Television Transition and Public Safety Fund",605,0
"Department of Commerce","National Telecommunications and Information Administration","Public Safety Trust Fund",624,6486510.42
"Department of Commerce","National Telecommunications and Information Administration","State and Local Implementation Fund",558,822185.5
"Department of Commerce","National Telecommunications and Information Administration","Network Construction Fund",590,1027773850.73
"Department of Defense","Military Personnel","Military Personnel, Army",1384,23303615045.45
"Department of Defense","Military Personnel","Medicare-Eligible Retiree Health Fund Contribution, Army",1379,1954925000
"Department of Defense","Military Personnel","Military Personnel, Navy",1055,14306012214.28
"Department of Defense","Military Personnel","Medicare-Eligible Retiree Health Fund Contribution, Navy",1037,1352369000
"Department of Defense","Military Personnel","Military Personnel, Marine Corps",1041,6547801634.38
"Department of Defense","Military Personnel","Medicare-Eligible Retiree Health Fund Contribution, Marine Corps",1038,766286000
"Department of Defense","Military Personnel","Military Personnel, Air Force",1692,14066845980.85
"Department of Defense","Military Personnel","Medicare-Eligible Retiree Health Fund Contribution, Air Force",1679,1319491000
"Department of Defense","Military Personnel","Reserve Personnel, Army",1399,2270867079.05
"Department of Defense","Military Personnel","Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Army",1380,376452000
"Department of Defense","Military Personnel","Reserve Personnel, Navy",1054,965697247.49
"Department of Defense","Military Personnel","Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Navy",1039,123448000
"Department of Defense","Military Personnel","Reserve Personnel, Marine Corps",1044,348027649.7
"Department of Defense","Military Personnel","Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",1040,71630000
"Department of Defense","Military Personnel","Reserve Personnel, Air Force",1695,926633418.64
"Department of Defense","Military Personnel","Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",1680,125293000
"Department of Defense","Military Personnel","National Guard Personnel, Army",1396,4188967535.61
"Department of Defense","Military Personnel","Medicare-Eligible Retiree Health Fund Contribution, National Guard Personnel, Army",1381,654412000
"Department of Defense","Military Personnel","National Guard Personnel, Air Force",1703,1599090128.23
"Department of Defense","Military Personnel","Medicare-Eligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",1681,216337000
"Department of Defense","Military Personnel","Concurrent Receipt Accrual Payments to the Military Retirement Fund",2905,6769323000
"Department of Defense","Operation and Maintenance","Operation and Maintenance, Army",1385,28952474671.35
"Department of Defense","Operation and Maintenance","Operation and Maintenance, Navy",1061,25992795680.78
"Department of Defense","Operation and Maintenance","Operation and Maintenance, Marine Corps",1042,3571742080.87
"Department of Defense","Operation and Maintenance","Operation and Maintenance, Air Force",1690,24979928539.39
"Department of Defense","Operation and Maintenance","Operation and Maintenance, Defense-wide",2906,20431906005.79
"Department of Defense","Operation and Maintenance","Office of the Inspector General",2909,148292800.51
"Department of Defense","Operation and Maintenance","Operation and Maintenance, Army Reserve",1400,1375466735.28
"Department of Defense","Operation and Maintenance","Operation and Maintenance, Navy Reserve",1063,515453100.75
"Department of Defense","Operation and Maintenance","Operation and Maintenance, Marine Corps Reserve",1043,161070874.59
"Department of Defense","Operation and Maintenance","Operation and Maintenance, Air Force Reserve",1697,1590169558.35
"Department of Defense","Operation and Maintenance","Operation and Maintenance, Army National Guard",1397,3331411158.57
"Department of Defense","Operation and Maintenance","Operation and Maintenance, Air National Guard",1701,3520220223.43
"Department of Defense","Operation and Maintenance","Overseas Contingency Operations Transfer Fund",2913,0
"Department of Defense","Operation and Maintenance","United States Court of Appeals for the Armed Forces",2907,12042905.54
"Department of Defense","Operation and Maintenance","Drug Interdiction and Counter-Drug Activities, Defense",2908,0
"Department of Defense","Operation and Maintenance","Support for International Sporting Competitions",2949,603299.06
"Department of Defense","Operation and Maintenance","Foreign Currency Fluctuations",2940,0
"Department of Defense","Operation and Maintenance","Defense Health Program",2914,18075766478.5
"Department of Defense","Operation and Maintenance","Environmental Restoration, Defense-Wide",2943,0
"Department of Defense","Operation and Maintenance","Environmental Restoration, Army",1378,0
"Department of Defense","Operation and Maintenance","Environmental Restoration, Air Force",1678,0
"Department of Defense","Operation and Maintenance","Environmental Restoration, Navy",1036,0
"Department of Defense","Operation and Maintenance","Department of Defense Acquisition Workforce Development Fund",2910,291379674.22
"Department of Defense","Operation and Maintenance","Environmental Restoration, Formerly Used Defense Sites",2944,0
"Department of Defense","Operation and Maintenance","Overseas Humanitarian, Disaster, and Civic Aid",2945,35356168.61
"Department of Defense","Operation and Maintenance","Cooperative Threat Reduction Account",2916,105579783.67
"Department of Defense","Operation and Maintenance","Contributions to the Cooperative Threat Reduction Program",2974,800000
"Department of Defense","Operation and Maintenance","Counterterrorism Partnerships Fund",2921,0
"Department of Defense","Operation and Maintenance","Payment to Kaho'olawe Island Conveyance, Remediation, and Environmental Restoration Fund",1051,0
"Department of Defense","Operation and Maintenance","Afghanistan Security Forces Fund",1406,1541936593.25
"Department of Defense","Operation and Maintenance","Afghanistan Infrastructure Fund",1411,14114922.13
"Department of Defense","Operation and Maintenance","Iraq Security Forces Fund",1407,0
"Department of Defense","Operation and Maintenance","Pakistan Counterinsurgency  Fund",1410,0
"Department of Defense","Operation and Maintenance","Iraq Train and Equip Fund",1412,368135460.52
"Department of Defense","Operation and Maintenance","Ship Modernization, Operations and Sustainment Fund",1033,0
"Department of Defense","Operation and Maintenance","Emergency Response Fund",2946,0
"Department of Defense","Operation and Maintenance","Emergency Response",2963,0
"Department of Defense","Operation and Maintenance","Defense Cooperative Initiatives",2964,0
"Department of Defense","Operation and Maintenance","Burdensharing and Other Cooperative Activities",2970,230855424.29
"Department of Defense","Operation and Maintenance","Use of Proceeds from the Transfer or Disposition of Commissary Facilities",2968,0
"Department of Defense","Operation and Maintenance","National Science Center, Army",1419,0
"Department of Defense","Operation and Maintenance","Restoration of the Rocky Mountain Arsenal",1417,1773579.7
"Department of Defense","Operation and Maintenance","Kaho' Olawe Island Conveyance, Remediation, and Environmental Restoration Fund",1069,0
"Department of Defense","Operation and Maintenance","Disposal of Department of Defense Real Property",2965,520766.22
"Department of Defense","Operation and Maintenance","Lease of Department of Defense Real Property",2966,7187809.81
"Department of Defense","Operation and Maintenance","Overseas Military Facility Investment Recovery",2967,0
"Department of Defense","Operation and Maintenance","Mutually Beneficial Activities",2972,456817.73
"Department of Defense","Operation and Maintenance","Department of Defense Vietnam War Commemoration Fund",2973,682787.05
"Department of Defense","Operation and Maintenance","Department of Defense Korean War Commemoration Fund",1421,0
"Department of Defense","International Reconstruction and Other Assistance","Operating Expenses of the Coalition Provisional Authority",1405,0
"Department of Defense","International Reconstruction and Other Assistance","Iraq Relief and Reconstruction Fund, Army",1404,0
"Department of Defense","Procurement","Aircraft Procurement, Army",1387,1866980796.27
"Department of Defense","Procurement","Missile Procurement, Army",1388,744397344.2
"Department of Defense","Procurement","Procurement of Weapons and Tracked Combat Vehicles, Army",1389,1347486147.05
"Department of Defense","Procurement","Procurement of Ammunition, Army",1390,1384751026.08
"Department of Defense","Procurement","Other Procurement, Army",1391,2973331929.13
"Department of Defense","Procurement","Joint Improvised Explosive Device Defeat Fund",1408,213623173.7
"Department of Defense","Procurement","Aircraft Procurement, Navy",1056,9940481291.59
"Department of Defense","Procurement","Weapons Procurement, Navy",1057,1768804770.08
"Department of Defense","Procurement","Procurement of Ammunition, Navy and Marine Corps",1058,477553773.69
"Department of Defense","Procurement","Shipbuilding and Conversion, Navy",1059,9544702345.08
"Department of Defense","Procurement","National Sea-Based Deterrence Fund",1060,250058274
"Department of Defense","Procurement","Other Procurement, Navy",1065,3845973367.79
"Department of Defense","Procurement","Coastal Defense Augmentation",1032,0
"Department of Defense","Procurement","Procurement, Marine Corps",1045,563253580.97
"Department of Defense","Procurement","Aircraft Procurement, Air Force",1682,11320257948.79
"Department of Defense","Procurement","Missile Procurement, Air Force",1684,1403965101.41
"Department of Defense","Procurement","Space Procurement, Air Force",1685,1201215377.39
"Department of Defense","Procurement","Procurement of Ammunition, Air Force",1683,1091818704.14
"Department of Defense","Procurement","Other Procurement, Air Force",1687,10156950951.34
"Department of Defense","Procurement","Procurement, Defense-wide",2923,2169531994.36
"Department of Defense","Procurement","National Guard and Reserve Equipment Account",2924,428305898.51
"Department of Defense","Procurement","Defense Production Act Purchases",2925,3682523.17
"Department of Defense","Procurement","Chemical Agents and Munitions Destruction, Defense",2926,274403410.75
"Department of Defense","Procurement","Chemical Agents and Munitions Destruction",1373,0
"Department of Defense","Procurement","Mine Resistant Ambush Protected Vehicle Fund",2920,0
"Department of Defense","Research, Development, Test, and Evaluation","Research, Development, Test and Evaluation, Army",1392,5518802164.53
"Department of Defense","Research, Development, Test, and Evaluation","Research, Development, Test and Evaluation, Navy",1052,9349031437.27
"Department of Defense","Research, Development, Test, and Evaluation","Research, Development, Test and Evaluation, Air Force",1693,14394854411.79
"Department of Defense","Research, Development, Test, and Evaluation","Tanker Replacement Transfer Fund, Air Force",1686,0
"Department of Defense","Research, Development, Test, and Evaluation","Research, Development, Test and Evaluation, Defense-wide",2928,9801164948.04
"Department of Defense","Research, Development, Test, and Evaluation","Operational Test and Evaluation, Defense",2930,82799616.14
"Department of Defense","Research, Development, Test, and Evaluation","Contributions for Renewable Energy Impact Assessments and Mitigation, Defense",2975,0
"Department of Defense","Military Construction","Military Construction, Army",1394,1603436050.64
"Department of Defense","Military Construction","Military Construction, Army, Recovery Act",1395,0
"Department of Defense","Military Construction","Military Construction, Navy and Marine Corps",1048,1323005101.76
"Department of Defense","Military Construction","Ford Island Improvement Account",1070,0
"Department of Defense","Military Construction","Military Construction, Navy, Recovery Act",1049,0
"Department of Defense","Military Construction","Military Construction, Air Force",1688,403448278.97
"Department of Defense","Military Construction","Military Construction, Air Force, Recovery Act",1689,0
"Department of Defense","Military Construction","Military Construction, Defense-wide",2932,894575374.05
"Department of Defense","Military Construction","Military Construction, Defense-wide, Recovery Act",2933,517123.98
"Department of Defense","Military Construction","North Atlantic Treaty Organization Security Investment Program",2942,231851891.96
"Department of Defense","Military Construction","Military Construction, Army National Guard",1402,64592799.81
"Department of Defense","Military Construction","Military Construction, Army National Guard, Recovery Act",1409,0
"Department of Defense","Military Construction","Military Construction, Air National Guard",1699,18095164.45
"Department of Defense","Military Construction","Military Construction, Air National Guard, Recovery Act",1700,0
"Department of Defense","Military Construction","Military Construction, Army Reserve",1403,10821947.46
"Department of Defense","Military Construction","Military Construction, Navy Reserve",1050,2399369.49
"Department of Defense","Military Construction","Military Construction, Air Force Reserve",1696,33100348.42
"Department of Defense","Military Construction","Chemical Demilitarization Construction, Defense-wide",2927,289769.36
"Department of Defense","Military Construction","Department of Defense Base Closure Account",2936,102778732.65
"Department of Defense","Military Construction","Department of Defense Base Closure Account 1990",2934,849515.76
"Department of Defense","Military Construction","Department of Defense Base Closure Account 2005",2935,10203885.94
"Department of Defense","Military Construction","Foreign Currency Fluctuations, Construction",2941,0
"Department of Defense","Family Housing","Family Housing Construction, Army",1374,5187766.59
"Department of Defense","Family Housing","Family Housing Construction, Army, Recovery Act",1375,0
"Department of Defense","Family Housing","Family Housing Operation and Maintenance, Army",1376,140564191.94
"Department of Defense","Family Housing","Family Housing Construction, Navy and Marine Corps",1034,10609765.29
"Department of Defense","Family Housing","Family Housing Operation and Maintenance, Navy and Marine Corps",1035,129415973.54
"Department of Defense","Family Housing","Family Housing Construction, Air Force",1674,1390133.16
"Department of Defense","Family Housing","Family Housing Construction, Air Force, Recovery Act",1675,0
"Department of Defense","Family Housing","Family Housing Operation and Maintenance, Air Force",1676,114548004.57
"Department of Defense","Family Housing","Family Housing Construction, Defense-Wide",2937,0
"Department of Defense","Family Housing","Family Housing Operation and Maintenance, Defense-Wide",2938,30867099.45
"Department of Defense","Family Housing","Homeowners Assistance Fund",2953,2053144.48
"Department of Defense","Family Housing","Homeowners Assistance Fund, Recovery Act",2954,0
"Department of Defense","Family Housing","Department of Defense Family Housing Improvement Fund",2947,2080045.86
"Department of Defense","Family Housing","Military Unaccompanied Housing Improvement Fund",2948,0
"Department of Defense","Revolving and Management Funds","National Defense Stockpile Transaction Fund",2959,15773986.67
"Department of Defense","Revolving and Management Funds","Pentagon Reservation Maintenance Revolving Fund",2962,321872446.24
"Department of Defense","Revolving and Management Funds","National Defense Sealift Fund",1066,524696611.17
"Department of Defense","Revolving and Management Funds","Department of Defense Working Capital Funds",2960,64802572308.21
"Department of Defense","Revolving and Management Funds","Buildings Maintenance Fund",2961,292115581.3
"Department of Defense","Allowances","Department of Defense Closed Accounts",2952,0
"Department of Defense","Trust Funds","Voluntary Separation Incentive Fund",3001,27490700.28
"Department of Defense","Trust Funds","Host Nation Support Fund for Relocation",3002,233160780.71
